T_C,P_sat_Pa,P_sat_bar,rho_liq,rho_vap,mu_liq_Pas,nu_liq_m2s,sigma_Nm,Bo_1 g (ground),Bo_0.01 g (low-g),Bo_0.001 g (micro-g)
4.0,656970.9529510131,6.569709529510131,540.1439230104294,13.829348228239184,0.00011499817705456479,2.1290284340076588e-07,0.009649657288569013,12355.181520043094,123.55181520043094,12.355181520043093
4.5,666531.5194609339,6.665315194609339,539.3870726342053,14.026868592578039,0.00011446015606626345,2.1220411439835637e-07,0.00958396558163083,12422.437308766514,124.22437308766513,12.42243730876651
5.0,676194.3917900606,6.761943917900606,538.628143953919,14.22665577265927,0.00011392486758925481,2.1150931095609697e-07,0.009518344415453614,12490.480684981907,124.90480684981908,12.490480684981907
5.5,685960.2383609121,6.859602383609121,537.8671155249544,14.428732684612427,0.00011339228064008746,2.1081839243772584e-07,0.009452794123462546,12559.32558391088,125.59325583910879,12.55932558391088
6.0,695829.7290456399,6.958297290456398,537.1039655868193,14.633122551028663,0.00011286236447853967,2.1013131853389046e-07,0.009387315042615467,12628.986272002221,126.28986272002221,12.628986272002223
6.5,705803.5351741315,7.0580353517413155,536.3386720562324,14.839848907710769,0.0001123350886030184,2.094480492565351e-07,0.009321907513461276,12699.47735682431,126.99477356824315,12.699477356824312
7.0,715882.3295472836,7.1588232954728355,535.5712125200287,15.048935610612538,0.00011181042274607693,2.0876854493350047e-07,0.009256571880199654,12770.813797314086,127.70813797314084,12.770813797314085
7.5,726066.7864469035,7.260667864469035,534.8015642278507,15.26040684296654,0.00011128833686989473,2.080927662030559e-07,0.009191308490742124,12843.010914397157,128.43010914397155,12.843010914397151
8.0,736357.5816495792,7.363575816495792,534.0297040846458,15.474287122612859,0.00011076880116181422,2.0742067400853219e-07,0.009126117696774546,12916.084401995351,129.1608440199535,12.916084401995349
8.5,746755.3924376734,7.467553924376734,533.2556086429422,15.69060130952959,0.00011025178602993007,2.0675222959305537e-07,0.009060999853820988,12990.050338437939,129.90050338437936,12.990050338437936
9.0,757260.8976140049,7.5726089761400495,532.4792540949019,15.909374613578118,0.00010973726209863702,2.0608739449420678e-07,0.008995955321309129,13064.925198293842,130.64925198293844,13.064925198293842
